Marke;Kostenstelle;erpId;orderId;Bestellnummer;Bestelldatum;Versuche;Erster Fehler (UTC);Letzter Fehler (UTC);Angefragter Pfad
Enchilada;Bar Enchilada Augsburg;10262;359083;284;2025-02-11;4;2026-08-03T22:03:34.598Z;2026-08-03T22:39:47.915Z;/api/10262/shop-order/359083/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;359454;285;2025-02-12;4;2026-08-03T22:03:29.478Z;2026-08-03T22:47:37.218Z;/api/10262/shop-order/359454/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;361186;286;2025-02-18;4;2026-08-03T22:03:20.378Z;2026-08-03T22:44:28.063Z;/api/10262/shop-order/361186/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;363296;288;2025-02-25;4;2026-08-03T22:03:03.963Z;2026-08-03T22:50:12.764Z;/api/10262/shop-order/363296/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;365271;289;2025-03-04;4;2026-08-03T22:02:53.953Z;2026-08-03T22:36:01.795Z;/api/10262/shop-order/365271/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;365711;290;2025-03-05;4;2026-08-03T22:02:50.468Z;2026-08-03T22:47:58.619Z;/api/10262/shop-order/365711/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;367343;291;2025-03-11;4;2026-08-03T22:02:37.970Z;2026-08-03T22:26:47.349Z;/api/10262/shop-order/367343/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;367833;292;2025-03-12;4;2026-08-03T22:02:35.019Z;2026-08-03T22:45:44.901Z;/api/10262/shop-order/367833/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;369651;293;2025-03-18;4;2026-08-03T22:02:18.963Z;2026-08-03T22:41:26.277Z;/api/10262/shop-order/369651/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;369652;294;2025-03-18;4;2026-08-03T22:02:20.969Z;2026-08-03T22:38:34.253Z;/api/10262/shop-order/369652/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;372264;296;2025-03-26;4;2026-08-03T22:01:49.751Z;2026-08-03T22:42:59.490Z;/api/10262/shop-order/372264/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;374726;298;2025-04-02;4;2026-08-03T22:01:31.820Z;2026-08-03T22:39:45.670Z;/api/10262/shop-order/374726/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;376602;299;2025-04-08;4;2026-08-03T22:01:20.145Z;2026-08-03T22:33:30.084Z;/api/10262/shop-order/376602/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;376994;300;2025-04-09;4;2026-08-03T22:01:16.989Z;2026-08-03T22:24:29.711Z;/api/10262/shop-order/376994/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;378297;301;2025-04-14;4;2026-08-03T22:01:00.792Z;2026-08-03T22:44:11.755Z;/api/10262/shop-order/378297/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;378298;302;2025-04-14;4;2026-08-03T22:01:04.171Z;2026-08-03T22:31:21.501Z;/api/10262/shop-order/378298/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;380896;305;2025-04-23;4;2026-08-03T22:00:45.021Z;2026-08-03T22:36:53.259Z;/api/10262/shop-order/380896/change?order_by=name
